person,picture_name,keith_emotion,keith_emotion_strength
keith,6a00d8341c565553ef0120a5f3e509970c-pi.png,angry,0.44
keith,keith(308).jpg,angry,0.53
keith,1201368377.png,angry,0.77
keith,keith(452).jpg,happy,0.45
keith,keith(422).jpg,neutral,0.58
keith,keith(423).jpg,angry,0.73
keith,iu7.png,sad,0.73
keith,keith(122).jpg,happy,0.82
keith,keith(461).jpg,neutral,0.7
keith,Screenshot-2021-02-04-at-15.png,neutral,0.76
keith,keith(417).jpg,neutral,0.78
keith,keith(116).jpg,angry,0.64
keith,keith(81).jpg,happy,0.99
keith,iu52.png,happy,0.99
keith,keith(342).jpg,neutral,0.44
keith,keith(404).jpg,sad,0.36
keith,keith(40).jpg,angry,0.48
keith,iu53.png,happy,0.29
keith,keith(416).jpg,neutral,0.68
keith,keith(323).jpg,sad,0.37
keith,iu47.png,neutral,0.34
keith,keir-starmer-poll.png,neutral,0.48
keith,E0nIJ4zWUAE_vEv.png,sad,0.33
keith,keith(163).jpg,neutral,0.42
keith,keith(238).jpg,happy,0.7
keith,keith(120).jpg,happy,0.69
keith,iu64.png,angry,0.55
keith,keith(25).jpg,neutral,0.47
keith,0_starmer.png,happy,0.99
keith,keith(229).jpg,happy,0.52
keith,iu30.png,happy,1
keith,keith(453).jpg,happy,0.76
keith,keith(165).jpg,sad,0.59
keith,keith(247).jpg,angry,0.94
keith,keith(121).jpg,neutral,0.32
keith,keith(245).jpg,angry,0.86
keith,keith(209).jpg,angry,0.39
keith,keith(203).jpg,neutral,0.45
keith,keith(211).jpg,sad,0.66
keith,keith(191).jpg,sad,0.59
keith,keith(201).jpg,angry,0.54
keith,keith(162).jpg,angry,0.34
keith,keith(200).jpg,angry,0.32
keith,iu24.png,neutral,0.52
keith,sir-keir-starmer-speaking-at-a-rally-at-the-roundhouse-in-north-london-during-his-campaign-to-be-lea.png,happy,0.99
keith,keith(448).jpg,neutral,0.42
keith,keith(228).jpg,sad,0.55
keith,keith(215).jpg,angry,0.53
keith,KSLL.png,sad,0.54
keith,keith(244).jpg,sad,0.4
keith,keith(227).jpg,happy,0.97
keith,832502b2-de99-41a2-8320-de2e139321bc-2060x1236.png,happy,0.74
keith,keith(117).jpg,neutral,0.4
keith,keith(195).jpg,neutral,0.54
keith,keith(385).jpg,angry,0.39
keith,keith(57).jpg,neutral,0.7
keith,keith(187).jpg,happy,0.85
keith,keith(213).jpg,surprise,0.26
keith,keith(272).jpg,happy,0.81
keith,keith(255).jpg,happy,0.77
keith,keith(131).jpg,happy,1
keith,keith(412).jpg,angry,0.7
keith,keith(184).jpg,happy,1
keith,keith(71).jpg,angry,0.78
keith,Keir_Starmer_prepares_for_conference_speech_PA-55629755_gtjsbf.png,angry,0.31
keith,POLITICS20Starmer202019012791.png,neutral,0.66
keith,labour-leader-sir-keir-starmer-talking-to-students-at-queen-elizabeth-sixth-form-college-darlington-.png,angry,0.39
keith,mp504x516glossf8f8f8t-pad600x600f8f8f8.png,happy,0.99
keith,keith(293).jpg,happy,0.33
keith,iu17.png,happy,0.77
keith,115045025_gettyimages-1272994059.png,fear,0.36
keith,keith(26).jpg,neutral,0.31
keith,keith(257).jpg,neutral,0.79
keith,keith(225).jpg,angry,0.7
keith,1211155821.png,sad,0.41
keith,keith(353).jpg,neutral,0.6
keith,images5.png,happy,0.85
keith,keith(5).jpg,happy,0.98
keith,keith(378).jpg,sad,0.38
keith,iu32.png,happy,0.94
keith,2Fmethode2Fsundaytimes2Fprod2Fweb2Fbin2Fcf52594e-920c-11eb-84a3-79b283cc3ba8.png,happy,0.57
keith,keith(6).jpg,happy,0.68
keith,2_Angela-Rayner-sacked.png,happy,1
keith,keith(269).jpg,angry,0.73
keith,Sir-Keir-Starmer-3054491.png,angry,0.5
keith,keith(45).jpg,neutral,0.68
keith,keirstarmer2701.png,angry,0.37
keith,keith(288).jpg,neutral,0.33
keith,images3.png,neutral,0.45
keith,keith(1).jpg,angry,0.85
keith,keir-starmer43.png,happy,1
keith,keith(425).jpg,angry,0.49
keith,b2bd38a0-99a9-11ea-96ff-7aff439fc3be_image_hires_142315.png,angry,0.66
keith,keith(304).jpg,sad,0.62
keith,Eysdv9OXEAMaeYw.png,neutral,0.42
keith,keith(388).jpg,happy,0.98
keith,keith(362).jpg,happy,0.33
keith,keith(240).jpg,angry,0.64
keith,keith(232).jpg,angry,0.93
keith,iu46.png,sad,0.36
keith,keith(114).jpg,neutral,0.34
keith,keith(111).jpg,angry,0.68
keith,iu69.png,happy,0.87
keith,keith(277).jpg,angry,0.61
keith,3000.png,angry,0.45
keith,keith(88).jpg,angry,0.41
keith,17801410-7403555-image-a-40_1567020730332.png,fear,0.34
keith,keith(375).jpg,sad,0.31
keith,keith(300).jpg,neutral,0.45
keith,keith(380).jpg,neutral,0.5
keith,keith(470).jpg,sad,0.34
keith,iu29.png,sad,0.46
keith,JJ7ABJDA4VCDDKWNQAXMSF6DEY.png,happy,1
keith,keith(153).jpg,sad,0.55
keith,keith(456).jpg,sad,0.38
keith,keith(454).jpg,sad,0.36
